week,concussions,year
1,12,08/09/2013
2,8,15/09/2013
3,11,22/09/2013
4,10,29/09/2013
5,18,06/10/2013
6,17,13/10/2013
7,13,17/10/2013
8,15,28/10/2013
9,10,03/11/2013
10,15,10/11/2013
11,18,17/11/2013
12,15,25/11/2013
13,17,02/12/2013
14,20,08/12/2013
15,23,15/12/2013
16,28,22/12/2013
17,28,29/12/2013
18,3,05/01/2014
19,2,11/01/2014
20,1,19/01/2014
21,1,02/02/2014
1,17,07/09/2014
2,16,14/09/2014
3,10,21/09/2014
4,7,29/09/2014
5,15,05/10/2014
6,17,12/10/2014
7,15,16/10/2014
8,19,26/10/2014
9,20,02/11/2014
10,13,09/11/2014
11,19,16/11/2014
12,20,23/11/2014
13,25,30/11/2014
14,27,07/12/2014
15,27,14/12/2014
16,23,21/12/2014
17,19,28/12/2014
18,6,04/01/2015
19,7,10/01/2015
20,0,18/01/2015
21,0,01/02/2015
1,13,13/09/2015
2,13,17/09/2015
3,13,27/09/2015
4,14,04/10/2015
5,17,11/10/2015
6,17,18/10/2015
7,23,25/10/2015
8,16,01/11/2015
9,16,08/11/2015
10,22,15/11/2015
11,18,22/11/2015
12,26,29/11/2015
13,31,06/12/2015
14,31,13/12/2015
15,30,20/12/2015
16,26,28/12/2015
17,38,03/01/2016
18,10,10/01/2016
19,7,17/01/2016
20,0,24/01/2016
21,0,07/02/2016
1,9,11/09/2016
2,13,18/09/2016
3,16,22/09/2016
4,16,02/10/2016
5,18,09/10/2016
6,22,16/10/2016
7,18,23/10/2016
8,17,30/10/2016
9,25,03/11/2016
10,22,13/11/2016
11,17,20/11/2016
12,28,27/11/2016
13,28,04/12/2016
14,36,12/12/2016
15,42,18/12/2016
16,38,24/12/2016
17,35,01/01/2017
18,11,08/01/2017
19,8,14/01/2017
20,6,22/01/2017
21,1,05/02/2017
1,11,07/09/2017
2,24,17/09/2017
3,20,24/09/2017
4,19,01/10/2017
5,18,05/10/2017
6,15,15/10/2017
7,20,22/10/2017
8,25,29/10/2017
9,18,05/11/2017
10,19,12/11/2017
11,20,19/11/2017
12,25,26/11/2017
13,29,03/12/2017
14,32,11/12/2017
15,36,17/12/2017
16,36,24/12/2017
17,39,31/12/2017
18,9,07/01/2018
19,4,13/01/2018
20,3,21/01/2018
21,1,04/02/2018
1,5,09/09/2018
2,14,16/09/2018
3,18,23/09/2018
4,13,30/09/2018
5,13,04/10/2018
6,13,14/10/2018
7,19,21/10/2018
8,15,29/10/2018
9,13,04/11/2018
10,15,11/11/2018
11,13,19/11/2018
12,22,25/11/2018
13,15,02/12/2018
14,20,09/12/2018
15,27,16/12/2018
16,26,23/12/2018
17,28,30/12/2018
18,6,06/01/2019
19,4,13/01/2019
20,0,20/01/2019
21,0,03/02/2019