gameweek 1 ,gameweek 2,gameweek 3,gameweek 4,gameweek 5,gameweek 6,gameweek 7,gameweek 8,gameweek 9,gameweek 10,gameweek 11,gameweek 12,gameweek 13,gameweek 14,gameweek 15,gameweek 16,gameweek 17,gameweek 18,gameweek 19,gameweek 20,gameweek 21
,1,2,2,,,1,1,1,,,,,,,,,,,,
,,,,,1,1,,,,,,,,,,,,,,
,,,,,,,1,1,1,,1,1,1,1,1,1,,,,
1,1,2,1,2,2,2,1,2,2,,2,2,2,3,3,3,,,,
,1,1,1,1,1,1,1,1,,1,1,1,1,1,2,1,1,,,
,3,4,3,4,3,3,2,,2,2,2,3,2,2,2,3,2,2,,
,1,,1,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,
1,,,,,1,1,1,,1,,1,1,2,2,1,2,,,,
,,,,,,1,,,,1,,1,2,3,1,1,,,,
,,,,,,1,1,1,1,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,,
,,1,,,,,1,,,,1,,,1,1,,,,,
,,,,,,,,,,,,,1,,1,1,,,,
,1,,,,,,,,,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,1,2,2,,,,
,,,,,,2,1,,1,1,1,,,1,1,2,,,,
,,,,,,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1,2,,1,1,1,1,1,1,1,1,1,2,3,3,3,,,,
1,1,1,1,,1,1,1,1,1,1,2,1,2,2,1,1,,,,
1,1,1,1,,1,1,1,2,2,2,4,2,2,2,2,2,2,,,
,,,,1,,,,,,,1,,1,,,,,,,
,,,1,1,,,,,,1,1,,,,2,1,,,,
,,1,,1,,1,,,,,,,,1,,1,,,,
,,,,,,,,,,,,,,,,,,,,
,1,1,1,1,1,,1,1,1,1,1,1,1,2,1,1,1,,,
,1,1,1,1,1,1,1,2,1,,1,1,1,2,1,2,,,,